Location;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
World;20297;20450;20375;20491;20592;21057;21516;21891;22041;22181;22827;23191;23521;24575;25726;26631;27472;28387;28569;28248;29900;30742;31194;31758;31810;31698;31687;32214;32727;32738;31266;32969
OECD;11216;11242;11284;11384;11573;11726;12109;12374;12379;12461;12775;12806;12721;12945;13073;13108;13038;13188;12856;12115;12619;12398;12264;12289;12094;11992;11937;11929;11910;11594;10519;11055
G7;8629;8597;8629;8695;8808;8903;9156;9375;9407;9456;9662;9656;9530;9654;9718;9724;9586;9677;9385;8749;9122;8887;8769;8868;8743;8563;8442;8342;8379;8162;7363;7771
BRICS;5442;5601;5549;5593;5553;5776;5807;5814;5939;5943;6162;6359;6653;7314;8130;8804;9520;10100;10440;10940;11788;12637;13079;13536;13709;13638;13593;13965;14376;14540;14376;15341
Europe;4418;4395;4261;4183;4138;4197;4343;4269;4275;4205;4246;4306;4302;4423;4435;4420;4469;4430;4344;4041;4175;4064;4043;3945;3776;3833;3848;3901;3820;3659;3338;3575
European Union;3558;3540;3413;3353;3331;3379;3478;3412;3404;3351;3357;3418;3415;3499;3503;3486;3503;3454;3382;3132;3236;3141;3094;3018;2882;2931;2945;2970;2901;2763;2499;2657
Belgium;106;110;109;107;113;114;120;116;119;115;117;117;111;115;114;112;110;107;109;100;109;99;99;100;93;97;96;95;96;95;87;93
Czechia;150;139;134;132;127;127;130;125;120;112;122;122;119;122;123;121;122;123;118;110;114;110;107;103;100;101;102;104;103;98;89;93
France;359;388;376;357;351;361;375;366;389;385;384;386;378;384;385;388;379;370;363;347;352;339;345;345;313;318;320;326;317;309;274;301
Germany;964;947;900;889;873;873;899;870;861;831;827;850;836;833;819;801;812;782;790;733;777;747;769;787;752;752;761;741;713;668;613;652
Italy;397;398;398;393;388;410;408;412;423;428;432;430;438;454;461;463;461;451;440;393;402;393;375;344;328;336;333;329;324;315;281;305
Netherlands;166;172;170;175;176;178;187;182;182;177;178;183;185;188;190;187;183;183;182;177;190;178;176;174;167;175;176;174;168;162;146;147
Poland;354;354;346;346;339;340;354;344;318;310;296;296;289;301;304;305;318;316;313;301;320;315;309;306;293;297;307;320;319;302;286;308
Portugal;40;42;46;44;45;49;47;50;54;61;61;60;64;60;61;64;59;57;55;54;49;48;47;45;44;49;48;52;48;44;38;38
Romania;162;135;124;118;113;117;121;112;98;85;87;93;93;97;96;92;96;93;92;78;75;82;79;70;69;69;68;71;72;70;66;69
Spain;207;216;227;213;222;233;223;243;251;272;288;289;306;314;329;343;336;346;318;282;269;272;268;242;241;256;248;264;259;240;200;214
Sweden;53;53;53;53;56;55;61;55;56;55;51;52;54;55;53;51;52;49;48;44;49;45;42;41;39;39;39;39;36;36;32;33
United Kingdom;556;564;558;541;533;524;545;520;526;523;532;544;529;543;544;542;543;532;516;469;485;446;468;455;415;402;380;367;361;348;301;321
Norway;28;26;29;31;33;32;33;35;37;38;33;35;34;37;37;36;37;38;37;38;41;40;39;40;40;41;40;40;40;39;37;38
Turkey;136;136;142;148;146;160;176;185;186;184;205;186;196;211;214;222;248;271;270;269;276;296;308;296;319;331;351;392;389;380;379;422
CIS;3494;3451;3134;2837;2490;2396;2284;2154;2137;2170;2196;2190;2187;2260;2269;2284;2371;2369;2418;2219;2382;2486;2456;2417;2306;2240;2243;2290;2386;2404;2323;2526
Kazakhstan;236;243;249;212;192;168;146;123;126;113;117;113;123;139;150;161;182;193;225;199;217;232;234;251;203;176;191;204;205;203;200;213
Russia;2189;2190;2017;1849;1629;1583;1565;1472;1455;1502;1522;1528;1511;1552;1550;1548;1609;1589;1604;1507;1610;1674;1653;1603;1585;1591;1571;1615;1689;1717;1639;1795
Ukraine;692;656;566;504;417;416;351;335;318;315;309;303;302;316;306;316;310;315;305;257;276;291;285;274;231;191;192;177;188;175;161;156
Uzbekistan;119;120;112;112;109;95;97;98;113;114;121;121;124;117;119;113;120;117;122;111;120;123;107;107;100;94;100;105;108;112;126;136
America;6148;6113;6220;6374;6518;6606;6854;7199;7280;7327;7551;7533;7403;7507;7636;7703;7632;7787;7617;7166;7514;7381;7247;7402;7452;7297;7170;7098;7171;7047;6269;6637
North America;5296;5236;5327;5451;5547;5611;5794;6081;6118;6163;6347;6320;6182;6261;6333;6359;6246;6364;6161;5742;5992;5797;5609;5720;5764;5617;5521;5467;5591;5481;4889;5178
Canada;430;423;436;435;452;461;476;493;498;509;530;524;530;552;545;555;548;580;558;531;546;559;560;568;570;570;567;576;589;589;528;546
United States;4866;4814;4892;5015;5096;5150;5318;5588;5620;5654;5818;5796;5651;5709;5788;5804;5698;5784;5603;5211;5446;5238;5049;5153;5194;5047;4955;4891;5001;4892;4361;4632
Latin America;852;877;893;924;971;995;1060;1118;1162;1164;1204;1214;1222;1246;1303;1344;1386;1423;1456;1424;1522;1584;1639;1681;1688;1680;1648;1630;1580;1566;1380;1459
Argentina;93;99;101;105;108;109;119;121;127;128;127;120;114;124;139;142;150;159;164;153;163;171;173;178;174;180;179;175;171;164;149;155
Brazil;194;199;204;211;219;236;255;272;279;289;300;307;305;300;317;321;325;340;358;335;379;399;432;465;491;467;433;441;416;418;396;450
Chile;31;29;31;32;36;39;45;52;53;57;53;51;51;53;58;58;60;66;68;66;70;76;79;83;77;81;86;87;87;92;86;91
Colombia;46;48;49;52;52;54;54;59;60;52;55;55;53;52;52;53;53;54;55;57;59;64;64;71;73;74;78;71;74;81;73;71
Mexico;265;284;286;296;321;304;317;330;353;345;369;371;377;397;404;420;437;440;436;432;446;464;467;458;444;451;457;456;434;429;364;377
Asia;4829;5058;5239;5514;5791;6142;6255;6396;6435;6529;6819;7024;7405;8095;8968;9693;10368;11053;11287;11879;12764;13692;14190;14671;14854;14881;14936;15376;15803;16010;15832;16612
China;2255;2370;2462;2631;2757;2944;2939;2968;3085;2996;3140;3275;3534;4108;4836;5471;6052;6514;6707;7218;7798;8488;8753;9168;9155;9118;9100;9284;9534;9662;9786;10398
India;551;593;621;649;690;739;765;804;814;867;903;919;961;990;1040;1085;1156;1257;1338;1472;1570;1662;1810;1859;2024;2035;2059;2188;2297;2295;2141;2251
Indonesia;145;157;165;179;190;212;230;250;252;271;272;291;297;325;332;335;354;372;365;382;410;461;468;428;464;469;460;491;550;597;519;537
Japan;1056;1063;1071;1064;1115;1124;1136;1126;1090;1126;1141;1127;1168;1179;1177;1171;1145;1178;1115;1065;1114;1164;1204;1217;1172;1138;1126;1112;1074;1041;1006;1014
Malaysia;51;61;64;70;75;82;93;100;100;109;118;124;130;136;149;159;166;184;195;175;194;199;203;221;228;228;228;243;246;256;247;254
South Korea;243;268;291;317;342;372;396;418;361;395;447;464;462;465;488;493;496;517;530;542;594;626;631;628;624;638;656;666;668;651;597;614
Taiwan;113;122;130;140;148;157;164;178;187;195;213;220;229;241;250;257;264;270;257;244;261;267;263;265;270;271;275;283;279;268;262;266
Thailand;82;90;99;112;126;142;160;164;149;156;157;165;176;185;202;209;211;218;222;217;234;233;250;261;257;264;260;260;259;268;261;259
Pacific;286;288;294;297;303;314;325;337;356;364;371;379;392;393;405;412;416;425;430;430;428;425;426;424;415;421;431;436;434;435;423;408
Australia;261;263;267;271;275;285;295;304;324;330;336;342;354;354;367;373;376;387;390;393;391;389;388;385;375;381;391;395;392;390;379;365
New Zealand;22;22;24;23;24;24;26;28;27;29;30;32;32;33;32;33;33;32;33;30;30;29;31;31;32;32;31;33;32;34;33;32
Africa;534;541;551;560;559;591;613;646;662;667;679;739;770;804;851;881;898;937;999;990;1043;1048;1109;1147;1192;1184;1202;1230;1260;1294;1224;1335
Algeria;53;57;57;59;56;57;56;58;59;63;64;66;72;75;76;80;83;87;91;97;98;105;115;118;127;135;133;135;143;148;141;143
Egypt;78;77;80;82;77;83;87;94;99;104;102;112;117;121;132;149;157;170;178;182;184;190;197;196;198;205;211;225;232;234;230;245
Nigeria;28;34;40;37;31;33;37;42;38;39;44;50;51;56;56;58;53;49;54;46;58;68;72;84;93;87;91;89;90;94;95;102
South Africa;252;248;245;253;258;274;284;299;307;290;296;331;342;364;387;379;379;400;433;408;430;414;431;441;453;428;430;436;440;449;414;447
Middle-East;589;604;676;725;794;813;842;890;895;918;965;1019;1062;1093;1162;1240;1318;1385;1475;1523;1595;1647;1721;1753;1815;1842;1856;1884;1854;1889;1857;1876
Iran;181;201;218;220;249;255;262;277;280;306;320;335;351;366;395;427;460;493;502;521;515;531;538;561;587;582;585;610;622;619;615;621
Kuwait;28;8;22;29;33;33;32;33;39;43;47;50;52;54;58;66;68;67;73;75;79;82;85;85;84;88;89;89;90;91;91;102
Saudi Arabia;156;162;177;187;200;199;212;214;229;235;244;248;266;277;294;310;329;346;378;395;435;451;482;489;525;551;547;536;512;517;518;513
United Arab Emirates;52;59;57;60;66;71;74;78;79;82;81;94;96;100;106;113;117;126;148;150;157;161;171;178;177;188;194;190;169;181;176;175
