Location;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
World;19,7;19,7;19,6;20,2;20,0;20,3;20,0;19,8;19,5;19,1;18,8;18,3;18,2;17,8;18,2;18,4;18,5;18,3;18,9;19,7;19,8;20,2;21,1;21,9;22,4;23,0;24,0;24,7;25,4;26,3;28,1;28,1
OECD;17,7;17,5;17,4;18,0;17,0;17,6;17,6;17,4;16,6;16,4;16,2;15,4;15,7;15,5;15,7;15,8;16,2;16,0;16,8;17,9;18,0;19,3;20,3;21,5;22,3;23,2;24,1;25,3;25,9;27,3;30,1;30,3
G7;15,1;15,1;14,7;15,2;14,5;15,1;15,5;15,2;14,2;14,1;13,6;12,8;13,6;13,7;13,7;13,6;14,2;13,9;14,7;15,9;15,6;17,5;18,1;19,3;20,1;20,9;22,1;23,9;24,4;25,6;28,0;27,9
BRICS;24,3;24,0;24,1;24,8;25,7;25,6;24,2;24,5;25,1;23,9;23,4;23,3;22,3;21,0;21,9;21,9;21,3;21,1;21,7;22,2;22,4;21,3;22,7;22,9;23,6;24,4;25,6;25,8;26,7;27,9;29,1;29,1
Europe;18,0;18,2;19,1;19,7;19,6;19,6;18,7;19,1;19,6;19,7;20,1;19,8;18,9;18,0;19,3;19,8;19,9;20,5;21,8;23,6;25,2;25,2;28,4;30,9;32,3;33,6;34,0;33,8;36,3;38,6;42,8;40,7
European Union;14,1;14,5;15,2;15,5;15,8;15,5;15,2;15,5;16,0;16,0;16,4;17,0;15,3;15,1;16,2;16,3;16,8;17,6;19,0;21,1;22,9;22,8;25,7;28,6;30,3;30,4;30,7;30,5;32,8;34,5;39,0;37,7
Belgium;1,7;1,8;2,0;1,8;2,0;2,1;2,0;2,0;2,2;2,4;2,7;2,9;2,8;2,7;3,3;4,0;5,0;5,4;6,8;7,5;8,4;10,6;14,2;15,6;18,5;22,3;18,0;19,6;24,3;21,7;27,4;23,8
Czechia;2,3;2,2;2,8;3,0;3,6;4,4;4,2;4,0;3,8;4,5;3,9;4,0;4,4;2,8;3,9;4,6;5,0;4,4;4,9;6,3;7,6;9,1;10,1;11,8;11,9;12,8;12,7;12,4;11,9;12,9;14,3;13,9
France;14,1;14,0;16,1;14,8;17,5;15,9;14,2;13,9;13,5;15,2;13,7;14,9;12,5;12,1;12,1;10,6;11,8;12,6;13,7;13,9;14,6;12,4;15,7;18,0;17,4;16,7;18,4;17,4;20,4;20,6;24,3;22,6
Germany;3,9;3,9;4,4;4,6;5,2;5,7;5,6;4,8;5,2;5,8;6,9;7,2;8,4;8,4;10,3;11,3;12,4;15,0;15,6;17,0;17,6;21,2;23,7;24,8;26,8;30,0;30,0;34,0;35,6;40,6;44,8;41,5
Italy;17,7;22,0;21,8;21,7;22,1;18,9;21,0;20,3;20,3;21,7;20,8;22,0;19,7;18,5;20,3;18,2;18,2;17,0;20,0;25,1;26,6;28,1;31,5;39,3;43,7;39,0;37,9;35,7;40,1;40,0;42,4;41,4
Netherlands;1,1;1,3;1,3;1,4;1,6;1,7;2,1;2,3;2,6;2,9;3,3;3,5;4,1;4,1;5,2;7,5;8,1;7,2;8,9;9,5;9,4;10,8;12,1;11,9;11,3;12,4;12,8;14,9;16,5;18,8;26,7;32,8
