Location;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2020 - 2021 (%) ;2000 - 2021 (%/year) 
World;8707;8764;8773;8865;8943;9169;9398;9497;9547;9763;9987;10072;10297;10663;11141;11456;11791;12110;12252;12126;12799;13008;13169;13371;13543;13572;13692;13988;14337;14517;13867;14555;5,0;1,8
OECD;4524;4575;4623;4692;4777;4877;5020;5072;5090;5184;5302;5283;5329;5405;5510;5543;5556;5578;5504;5261;5439;5342;5303;5338;5291;5288;5301;5338;5393;5346;4953;5161;4,2;-0,1
G7;3488;3524;3566;3613;3674;3742;3835;3850;3869;3938;4027;3988;4012;4046;4121;4136;4118;4124;4039;3836;3950;3850;3804;3849;3825;3805;3782;3790;3836;3803;3483;3636;4,4;-0,5
BRICS;2264;2247;2209;2235;2212;2294;2341;2338;2346;2412;2464;2515;2602;2824;3068;3260;3483;3689;3815;3963;4299;4540;4691;4794;4938;4944;4963;5137;5371;5542;5514;5836;5,8;4,2
Europe;1780;1777;1737;1735;1728;1781;1844;1835;1850;1833;1854;1888;1890;1938;1960;1970;1990;1964;1964;1859;1934;1875;1866;1846;1779;1808;1825;1859;1847;1817;1701;1787;5,1;-0,2
European Union;1443;1438;1399;1394;1390;1435;1481;1472;1481;1467;1477;1512;1515;1550;1569;1575;1586;1564;1560;1469;1529;1482;1461;1445;1392;1408;1419;1443;1433;1408;1312;1372;4,5;-0,4
Belgium;48;50;50;49;52;53;56;56;57;57;58;58;56;58;58;58;57;56;58;56;60;56;54;56;53;53;56;55;53;55;51;56;11,3;-0,1
Czechia;50;45;44;43;41;42;43;43;42;39;41;42;43;45;46;45;46;46;45;43;45;43;43;43;42;42;41;43;43;43;40;42;4,6;0,1
France;224;237;234;238;231;240;251;244;252;252;255;260;261;268;271;273;268;265;266;255;263;258;258;259;249;252;248;247;246;242;218;235;7,7;-0,4
Germany;352;345;338;335;333;337;348;345;343;335;337;347;339;339;341;339;349;331;335;313;330;313;315;322;308;309;310;311;304;297;279;286;2,6;-0,8
